"id_barrier","id_links","type","pass_u","pass_d","num","den","index","index_bl","d_index","source","lon","lat","geometry"
751,37,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-846539.434999999,-1119287.703,c(-846539.434999999, -1119287.703)
762,38,"dam",0,0,149874.078449154,5225437.09253873,0.0286816348173353,0.0286814636731808,0.000596706487661325,"1",-846913.895,-1117967.768,c(-846913.895, -1117967.768)
773,39,"dam",0,0,149873.406414692,5225437.09253873,0.028681506209058,0.0286814636731808,0.000148304415909047,"1",-847015.756000001,-1117909.879,c(-847015.756000001, -1117909.879)
783,40,"dam",0,0,149876.265600921,5225437.09253873,0.0286820533759607,0.0286814636731808,0.0020560414439927,"1",-847043.533,-1117211.664,c(-847043.533, -1117211.664)
793,41,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-846175.752,-1116272.421,c(-846175.752, -1116272.421)
803,42,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-822276.984999999,-1070299.624,c(-822276.984999999, -1070299.624)
811,43,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-821984.162999999,-1072364.121,c(-821984.162999999, -1072364.121)
821,44,"dam",0,0,149874.000389967,5225437.09253873,0.0286816198790276,0.0286814636731808,0.000544622996001617,"1",-821948.697999999,-1069321.291,c(-821948.697999999, -1069321.291)
833,45,"dam",0,0,149882.909620377,5225437.09253873,0.0286833248522675,0.0286814636731808,0.00648913565881096,"1",-821673.965,-1069286.117,c(-821673.965, -1069286.117)
840,46,"dam",0,0,149894.819306434,5225437.09253873,0.0286856040273578,0.0286814636731808,0.014435644652537,"1",-823250.440000001,-1069241.64,c(-823250.440000001, -1069241.64)
852,47,"dam",0,0,149880.817729627,5225437.09253873,0.0286829245238906,0.0286814636731808,0.00509336178370503,"1",-832394.431000002,-1065591.492,c(-832394.431000002, -1065591.492)
863,48,"dam",0,0,149878.799805731,5225437.09253873,0.0286825383506653,0.0286814636731808,0.00374694086999061,"1",-829630.640000001,-1066682.53,c(-829630.640000001, -1066682.53)
