"id_barrier","id_links","type","pass_u","pass_d","num","den","index","index_bl","d_index","source","lon","lat","geometry"
889,51,"dam",0,0,NA,NA,NA,NA,NA,NA,-831525.864999998,-1065639.906,c(-831525.864999998, -1065639.906)
896,52,"dam",0,0,NA,NA,NA,NA,NA,NA,-827949.333999999,-1066354.828,c(-827949.333999999, -1066354.828)
906,53,"dam",0,0,NA,NA,NA,NA,NA,NA,-827604.743999999,-1066908.852,c(-827604.743999999, -1066908.852)
917,54,"dam",1,1,NA,NA,NA,NA,NA,NA,-825521.463,-1067743.453,c(-825521.463, -1067743.453)
928,55,"dam",0,0,NA,NA,NA,NA,NA,NA,-830547.585000001,-1066510.057,c(-830547.585000001, -1066510.057)
957,56,"dam",0,0,NA,NA,NA,NA,NA,NA,-825297.098000001,-1029557.458,c(-825297.098000001, -1029557.458)
968,57,"dam",0,0,NA,NA,NA,NA,NA,NA,-833199.693,-1029945.662,c(-833199.693, -1029945.662)
969,58,"dam",0,0,NA,NA,NA,NA,NA,NA,-830637.877999999,-1030623.234,c(-830637.877999999, -1030623.234)
976,59,"dam",0,0,NA,NA,NA,NA,NA,NA,-819565.956999999,-1047887.509,c(-819565.956999999, -1047887.509)
986,60,"dam",1,1,NA,NA,NA,NA,NA,NA,-811422.18,-1053021.11,c(-811422.18, -1053021.11)
991,61,"dam",0,0,NA,NA,NA,NA,NA,NA,-809959.469999999,-1052686.64,c(-809959.469999999, -1052686.64)
996,62,"dam",0,0,NA,NA,NA,NA,NA,NA,-823264.719999999,-1036424.21,c(-823264.719999999, -1036424.21)
1007,63,"dam",0,0,NA,NA,NA,NA,NA,NA,-823905.342,-1032510.096,c(-823905.342, -1032510.096)
1016,64,"dam",0,0,NA,NA,NA,NA,NA,NA,-816800.603,-1051106.188,c(-816800.603, -1051106.188)
1026,65,"dam",0,0,NA,NA,NA,NA,NA,NA,-824037.296999998,-1032151.5,c(-824037.296999998, -1032151.5)
1034,66,"dam",0,0,NA,NA,NA,NA,NA,NA,-821105.219999999,-1044816.99,c(-821105.219999999, -1044816.99)
1044,67,"dam",0,0,NA,NA,NA,NA,NA,NA,-823410.050000001,-1035999.46,c(-823410.050000001, -1035999.46)
1054,68,"dam",0,0,NA,NA,NA,NA,NA,NA,-824251.208000001,-1034137.598,c(-824251.208000001, -1034137.598)
1065,69,"dam",0,0,NA,NA,NA,NA,NA,NA,-818523.234999999,-1049127.286,c(-818523.234999999, -1049127.286)
1073,70,"dam",0,0,NA,NA,NA,NA,NA,NA,-819440.090999998,-1047998.744,c(-819440.090999998, -1047998.744)
1086,71,"dam",0,0,NA,NA,NA,NA,NA,NA,-834545.323417658,-1029705.51508267,c(-834545.323417658, -1029705.51508267)
1105,72,"dam",0,0,NA,NA,NA,NA,NA,NA,-832713.289999999,-1029948.36,c(-832713.289999999, -1029948.36)
1114,73,"dam",0,0,NA,NA,NA,NA,NA,NA,-827630.758000001,-1030422.155,c(-827630.758000001, -1030422.155)
1121,74,"dam",0,0,NA,NA,NA,NA,NA,NA,-828759.092999998,-1030464.991,c(-828759.092999998, -1030464.991)
1142,75,"dam",0,0,NA,NA,NA,NA,NA,NA,-832431.239874374,-1030158.31283243,c(-832431.239874374, -1030158.31283243)
1153,76,"dam",1,1,NA,NA,NA,NA,NA,NA,-806900.579999998,-1007561.85,c(-806900.579999998, -1007561.85)
1175,77,"dam",1,1,NA,NA,NA,NA,NA,NA,-806658.559999999,-1007554.8,c(-806658.559999999, -1007554.8)
1184,78,"dam",0,0,NA,NA,NA,NA,NA,NA,-806413.98,-1007574.6,c(-806413.98, -1007574.6)
1185,79,"dam",1,1,NA,NA,NA,NA,NA,NA,-804660.329999998,-1007055.03,c(-804660.329999998, -1007055.03)
1202,80,"dam",1,1,NA,NA,NA,NA,NA,NA,-809421.050000001,-1009062.92,c(-809421.050000001, -1009062.92)
1210,81,"dam",1,1,NA,NA,NA,NA,NA,NA,-809158.041999999,-1008940.552,c(-809158.041999999, -1008940.552)
1219,82,"dam",1,1,NA,NA,NA,NA,NA,NA,-809703.73,-1009039.58,c(-809703.73, -1009039.58)
1231,83,"dam",1,1,NA,NA,NA,NA,NA,NA,-806531.777130152,-1007566.85008815,c(-806531.777130152, -1007566.85008815)
1232,84,"dam",0,0,NA,NA,NA,NA,NA,NA,-805921.028999999,-1007309.212,c(-805921.028999999, -1007309.212)
1174,85,"dam",1,1,NA,NA,NA,NA,NA,NA,-806583.469999999,-1007561.33,c(-806583.469999999, -1007561.33)
1203,86,"dam",0,0,NA,NA,NA,NA,NA,NA,-809332.690000001,-1009039.8,c(-809332.690000001, -1009039.8)
1176,87,"dam",1,1,NA,NA,NA,NA,NA,NA,-806718.334371462,-1007548.91518257,c(-806718.334371462, -1007548.91518257)
1288,88,"dam",1,1,NA,NA,NA,NA,NA,NA,-824196.563000001,-1009368.487,c(-824196.563000001, -1009368.487)
1303,89,"dam",1,1,NA,NA,NA,NA,NA,NA,-815826.879999999,-1007244.55,c(-815826.879999999, -1007244.55)
1304,90,"dam",0,0,NA,NA,NA,NA,NA,NA,-812398.859999999,-1007382.28,c(-812398.859999999, -1007382.28)
1313,91,"dam",0,0,NA,NA,NA,NA,NA,NA,-817674.208999999,-1007940.337,c(-817674.208999999, -1007940.337)
1324,92,"dam",1,1,NA,NA,NA,NA,NA,NA,-814052.177999999,-1006785.874,c(-814052.177999999, -1006785.874)
2,93,"dam",1,1,153356.824441388,5225437.09253873,0.029348133318907,0.029348133318907,0,"1",-820950.965999998,-1008942.627,c(-820950.965999998, -1008942.627)
11,94,"dam",1,1,153356.824441388,5225437.09253873,0.029348133318907,0.029348133318907,0,"1",-821749.370000001,-1009692.748,c(-821749.370000001, -1009692.748)
21,95,"dam",1,1,153356.824441388,5225437.09253873,0.029348133318907,0.029348133318907,0,"1",-819393.756999999,-1008546,c(-819393.756999999, -1008546)
29,96,"dam",1,1,153356.824441388,5225437.09253873,0.029348133318907,0.029348133318907,0,"1",-822167.210999999,-1009655.071,c(-822167.210999999, -1009655.071)
50,97,"dam",1,1,NA,NA,NA,NA,NA,NA,-820456.695999999,-1008640.886,c(-820456.695999999, -1008640.886)
51,98,"dam",1,1,NA,NA,NA,NA,NA,NA,-814474.68,-1006691.62,c(-814474.68, -1006691.62)
1218,99,"dam",1,1,NA,NA,NA,NA,NA,NA,-809771.100000001,-1008994.24,c(-809771.100000001, -1008994.24)
77,100,"dam",1,1,NA,NA,NA,NA,NA,NA,-821187.370102763,-1009287.75005108,c(-821187.370102763, -1009287.75005108)
87,101,"dam",1,1,NA,NA,NA,NA,NA,NA,-815043.864,-1006684.845,c(-815043.864, -1006684.845)
1272,102,"dam",1,1,NA,NA,NA,NA,NA,NA,-809256.600000001,-1009000.38,c(-809256.600000001, -1009000.38)
1220,103,"dam",0,0,NA,NA,NA,NA,NA,NA,-809656.34,-1009055.53,c(-809656.34, -1009055.53)
124,104,"dam",1,1,NA,NA,NA,NA,NA,NA,-803049.340999998,-1006836.582,c(-803049.340999998, -1006836.582)
135,105,"dam",0,0,NA,NA,NA,NA,NA,NA,-819035.022999998,-1008524.35,c(-819035.022999998, -1008524.35)
145,106,"dam",0,0,NA,NA,NA,NA,NA,NA,-819589,-1008550.816,c(-819589, -1008550.816)
156,107,"dam",0,0,NA,NA,NA,NA,NA,NA,-818037.517999999,-1008144.076,c(-818037.517999999, -1008144.076)
178,108,"dam",0,0,NA,NA,NA,NA,NA,NA,-816931.364999998,-1007632.934,c(-816931.364999998, -1007632.934)
195,109,"dam",0,0,NA,NA,NA,NA,NA,NA,-816305.129999999,-1007281.53,c(-816305.129999999, -1007281.53)
208,110,"dam",0,0,NA,NA,NA,NA,NA,NA,-816160.079999998,-1007290.96,c(-816160.079999998, -1007290.96)
209,111,"dam",0,0,NA,NA,NA,NA,NA,NA,-816026.93,-1007265,c(-816026.93, -1007265)
234,112,"dam",0,0,NA,NA,NA,NA,NA,NA,-812235.166999999,-1007475.986,c(-812235.166999999, -1007475.986)
244,113,"dam",0,0,NA,NA,NA,NA,NA,NA,-812149.225000001,-1007571.81,c(-812149.225000001, -1007571.81)
245,114,"dam",0,0,NA,NA,NA,NA,NA,NA,-811857.989,-1007808.226,c(-811857.989, -1007808.226)
256,115,"dam",0,0,NA,NA,NA,NA,NA,NA,-811629.105,-1007877.944,c(-811629.105, -1007877.944)
273,116,"dam",0,0,NA,NA,NA,NA,NA,NA,-811340.960999999,-1008058.875,c(-811340.960999999, -1008058.875)
293,117,"dam",0,0,NA,NA,NA,NA,NA,NA,-810744.105999999,-1008504.902,c(-810744.105999999, -1008504.902)
301,118,"dam",0,0,NA,NA,NA,NA,NA,NA,-815634.989999998,-1007105.583,c(-815634.989999998, -1007105.583)
311,119,"dam",1,1,NA,NA,NA,NA,NA,NA,-813343.309999999,-1006831.81,c(-813343.309999999, -1006831.81)
322,120,"dam",1,1,NA,NA,NA,NA,NA,NA,-813684.750127502,-1006790.78329309,c(-813684.750127502, -1006790.78329309)
194,121,"dam",0,0,NA,NA,NA,NA,NA,NA,-816210.252265918,-1007282.66547636,c(-816210.252265918, -1007282.66547636)
352,122,"dam",0,0,NA,NA,NA,NA,NA,NA,-819227.138,-1008509.126,c(-819227.138, -1008509.126)
369,123,"dam",0,0,NA,NA,NA,NA,NA,NA,-818644.756999999,-1008431.885,c(-818644.756999999, -1008431.885)
233,124,"dam",0,0,NA,NA,NA,NA,NA,NA,-812209.609999999,-1007494.16,c(-812209.609999999, -1007494.16)
395,125,"dam",0,0,NA,NA,NA,NA,NA,NA,-811490.963,-1007940.476,c(-811490.963, -1007940.476)
406,126,"dam",0,0,NA,NA,NA,NA,NA,NA,-810267.48,-1008661.52,c(-810267.48, -1008661.52)
416,127,"dam",0,0,NA,NA,NA,NA,NA,NA,-820104.291000001,-1069119.564,c(-820104.291000001, -1069119.564)
425,128,"dam",1,1,NA,NA,NA,NA,NA,NA,-819877.175000001,-1069081.057,c(-819877.175000001, -1069081.057)
442,129,"dam",0,0,NA,NA,NA,NA,NA,NA,-810566.092,-1063921.929,c(-810566.092, -1063921.929)
443,130,"dam",1,1,NA,NA,NA,NA,NA,NA,-819172.140000001,-1067511.54,c(-819172.140000001, -1067511.54)
455,131,"dam",1,1,NA,NA,NA,NA,NA,NA,-817331.949999999,-1067565.21,c(-817331.949999999, -1067565.21)
463,132,"dam",1,1,NA,NA,NA,NA,NA,NA,-815265.574000001,-1065033.276,c(-815265.574000001, -1065033.276)
481,133,"dam",0,0,NA,NA,NA,NA,NA,NA,-811214.004000001,-1061542.95,c(-811214.004000001, -1061542.95)
489,134,"dam",0,0,NA,NA,NA,NA,NA,NA,-810068.784000002,-1058191.333,c(-810068.784000002, -1058191.333)
502,135,"dam",0,0,NA,NA,NA,NA,NA,NA,-809927.254000001,-1056116.85,c(-809927.254000001, -1056116.85)
508,136,"dam",0,0,NA,NA,NA,NA,NA,NA,-807873.878115321,-1054571.15977816,c(-807873.878115321, -1054571.15977816)
